"id","name","Sinhala Name","author","translator","language","categoery"
"551","Ekolaha","","Jayathilake Kammalweera","","Sinhala","Sinhala Short Stories"
"552","Muwa Meru Salamon","","Nishshanka Wijemanna","","Sinhala","Sinhala Short Stories"
"553","Anith Kona","","Bodhini Samarathunga","","Sinhala","Sinhala Short Stories"
"554","Thilaka Sitha","","Thilakasiri Ekanayaka","","Sinhala","Sinhala Short Stories"
"555","Thilaka Sitha 2","","Thilakasiri Ekanayaka","","Sinhala","Sinhala Short Stories"
"556","Rathu Rosa Mala","","Gunadasa Amarasekara","","Sinhala","Sinhala Short Stories"
"557","Wahallu","","Martin Wickramasinghe","","Sinhala","Sinhala Short Stories"
"558","Handa saakki kima","","Martin Wickramasinghe","","Sinhala","Sinhala Short Stories"
"559","Demala Ketikatha","","T. Kanakarathnam","","Sinhala","Sinhala Short Stories"
"560","Aabaranella","","Sunanda Mahendra","","Sinhala","Sinhala Short Stories"
"561","Atan Pahura","","Dharma sri Gunadasa","","Sinhala","Sinhala Short Stories"
"562","Ekiriyan Kumbura","","D.A.N.Senarathne","","Sinhala","Sinhala Short Stories"
"563","Yakadaya","","Ubaya Weerasinghe","","Sinhala","Sinhala Short Stories"
"564","Duppathun Nethi Lokaya","","G.B. Senanayaka","","Sinhala","Sinhala Short Stories"
"565","Utthamavi","","Sudaraj","","Sinhala","Sinhala Short Stories"
"566","Asiri Sirini","","Hemanthi Samarajiwa","","Sinhala","Sinhala Short Stories"
"567","Asiri Sirini 2","","Hemanthi Samarajiwa","","Sinhala","Sinhala Short Stories"
"568","Yudabimaka Wedamahima","","Pethum Karnar","","Sinhala","Sinhala Short Stories"
"569","Jivithaya Wenas Karana katha","","Kelum Weligama","","Sinhala","Sinhala Short Stories"
"570","Jivithaya Wenas Karana katha 2","","Kelum Weligama","","Sinhala","Sinhala Short Stories"
"571","Peethara","","Mahagama sekara ","","Sinhala","Sinhala Short Stories"
"572","4 weni jayasingha","","Samitha B.","","Sinhala","Sinhala Short Stories"
"573","Diwya puthraya","","Chandrasena Thalangama","","Sinhala","Sinhala Short Stories"
"574","Mithuriya","","G.B. Senanayaka","","Sinhala","Sinhala Short Stories"
"575","Pedi Diyata Boradiya","","A.V.Suraweera","","Sinhala","Sinhala Short Stories"
"576","Sende Sakmanaka Sehelluwa","","Piyal Kariyawasam","","Sinhala","Sinhala Short Stories"
"577","Naraka Minisekuge Kathawak","","D.p.Samarasinghe","","Sinhala","Sinhala Short Stories"
"578","Bawa Thimira","","A.V.Suraweera","","Sinhala","Sinhala Short Stories"
"579","Kumbiya nam Dolekka Wadakaya","","Kamal Perera","","Sinhala","Sinhala Short Stories"
"580","Cheena Yeheliya","","Chandana Mendis","","Sinhala","Sinhala Short Stories"
"581","Dethi roden Upan Budun","","Tenison perera","","Sinhala","Sinhala Short Stories"
"582","Suneth Kanthage Sokanthaya","","Sudarsana Samaraweera","","Sinhala","Sinhala Short Stories"
"583","Gammiris","","Kanchana Amilani","","Sinhala","Sinhala Short Stories"
"584","Athathwika ketikatha hathak","","K. Jayathilaka","","Sinhala","Sinhala Short Stories"
"585","Dustakame sawundarya","","Manjula wediwardana","","Sinhala","Sinhala Short Stories"
"586","Alandara","","Sunethra Rajakarunanayaka","","Sinhala","Sinhala Short Stories"
"587","Hithuwakkari","","H.B Gunarathne","","Sinhala","Sinhala Short Stories"
"588","Seneli Piyum","","Anil herath","","Sinhala","Sinhala Short Stories"
"589","Netuma","","G.B. Senanayaka","","Sinhala","Sinhala Short Stories"
"590","Pichcha Mala","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"591","Araliya Mal Aramaya","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"592","Mahamera","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"593","Upeka","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"594","Pinketha","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"595","Sil suwanda","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"596","Sudu Neluma","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"597","Thera Taraniya","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"598","Yugayen Yugaya","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"599","Nuraginna","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"600","Amawessa","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"601","Gothama Geethaya","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"602","Maha Anada Himi","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"603","Parasathuro","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"604","Maha Mihidu Himi","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"605","Manussa Athma","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"606","Katu kohila kotuwa","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"607","Debayo","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"608","Sath Sayura","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"609","Raigam Puttu","","Jayasena Jayakody","","Sinhala","Sinhala Novel"
"610","Agamehesiya","","Jayakodi Senavirathne","","Sinhala","Sinhala Novel"
"611","Ohuge Kathawa","","Simon Nawagattegama","","Sinhala","Sinhala Novel"
"612","Akkara Paha","","Madawala S Rathnayaka","","Sinhala","Sinhala Novel"
"613","Kanimadala Ginigathda","","Chandrarathna Bandara","","Sinhala","Sinhala Novel"
"614","Malagiya Aththo","","Ediriweera Sarachchandra","","Sinhala","Sinhala Novel"
"615","Malaunge Awurududa","","Ediriweera Sarachchandra","","Sinhala","Sinhala Novel"
"616","Shashthru","","Ajith Perakum Jayasinghe","","Sinhala","Sinhala Novel"
"617","Doolwala Alankare","","Sumudu Niragi Senewirathne","","Sinhala","Sinhala Novel"
"618","Willarawadiya","","Henry Warnakulasooriya","","Sinhala","Sinhala Novel"
"619","Bedhamariya","","Anurasiri Hettige","","Sinhala","Sinhala Novel"
"620","wehibiththara","","Gamini Kandhepola","","Sinhala","Sinhala Novel"
"621","Dehi","","Tharaka Wasalamudaliarachchi","","Sinhala","Sinhala Novel"
"622","Rankaraduwa","","Batuwangala Rahula Himi","","Sinhala","Sinhala Novel"
"623","Ada Mahaththaya","","Ashoka Piyarathne","","Sinhala","Sinhala Novel"
"624","Baththalangunduwa","","Manjula Wediwardana","","Sinhala","Sinhala Novel"
"625","Swayanjatha","","Samaraweera Wijayasinghe","","Sinhala","Sinhala Novel"
"626","Thara Mage Dewduwa","","Nishshanka Wijemanna","","Sinhala","Sinhala Novel"
"627","Ahambakaraka","","Liyanage Amarakeerthi","","Sinhala","Sinhala Novel"
"628","Raoul Wallenberg","","Priyanwada.M.Banduwardana","","Sinhala","Sinhala Novel"
"629","Paradesi","","Erick Ilayaparachchi","","Sinhala","Sinhala Novel"
"630","Sakkaran","","Chamminda Welagedara","","Sinhala","Sinhala Novel"
"631","Pathi Puja","","S.K.Perera","","Sinhala","Sinhala Novel"
"632","Sathpurusa","","Chamminda Welagedara","","Sinhala","Sinhala Novel"
"633","Rajantharaya","","Wimal Hapugoda Arachchi","","Sinhala","Sinhala Novel"
"634","Paada yathra","","Erick Ilayaparachchi","","Sinhala","Sinhala Novel"
"635","Wiragaya","","Martin Wickramasinghe","","Sinhala","Sinhala Novel"
"636","Yuganthaya","","Martin Wickramasinghe","","Sinhala","Sinhala Novel"
"637","Mawbima Ahimiwa","","Jayarathna Kodippily","","Sinhala","Sinhala Novel"
"638","Gini Awi Saha Ginikeli","","Anura Horeshsas","","Sinhala","Sinhala Novel"
"639","Manikkawatha","","Mahinda Prasad Masimbula","","Sinhala","Sinhala Novel"
"640","Yuga Makara","","Abayarathna Weerasinghe","","Sinhala","Sinhala Novel"
"641","Ksema Bumiya","","Iylin Siriwatdana","","Sinhala","Sinhala Novel"
"642","Dadayakkarayage Kathawa","","Simon Nawagattegama","","Sinhala","Sinhala Novel"
"643","Kseera sagaraya  kelambina","","Simon Nawagattegama","","Sinhala","Sinhala Novel"
"644","Vilasiniyakage Premaya","","Simon Nawagattegama","","Sinhala","Sinhala Novel"
"645","Sapekshani  2","","Simon Nawagattegama","","Sinhala","Sinhala Novel"
"646","Wanna Dasi","","Kathyana Amarasinghe","","Sinhala","Sinhala Novel"
"647","Kathalugala Andaraya","","Badraji Mahinda Jayathilaka","","Sinhala","Sinhala Novel"
"648","Sudu Sewanelli","","Piyadasa Welikannage","","Sinhala","Sinhala Novel"
"649","Wassana Sihinaya","","Upul Shantha Sannasgala","","Sinhala","Sinhala Novel"
"650","Mage Kulundul Pemwathiya","","Upul Shantha Sannasgala","","Sinhala","Sinhala Novel"
"651","Sonduru Kelambiyana","","Nammuni k Dayarathna","","Sinhala","Sinhala Novel"
"652","Asamajjathi Adaraya","","Baratha Prabashana Tennakoon","","Sinhala","Sinhala Novel"
"653","Deshadrohiyage Nirmala hardaya","","Tharangani Rasika Fernando","","Sinhala","Sinhala Novel"
"654","Jalagelma","","G.B. Senanayaka","","Sinhala","Sinhala Novel"
"655","Thunman Handiya","","Mahagama Sekara","","Sinhala","Sinhala Novel"
"656","Asandhimitta","","Saman Wickramarachchi","","Sinhala","Sinhala Novel"
"657","Nil Mal Wil","","Madawala S Rathnayaka","","Sinhala","Sinhala Novel"
"658","Ghathanayata Pera","","Henry Warnakulasuriya","","Sinhala","Sinhala Novel"
"659","Handa Paluwa Thani Tharuwa","","Nissanka Wijemanna","","Sinhala","Sinhala Novel"
"660","Ilanga Kella","","Bharatha Prabashana Tennakoon","","Sinhala","Sinhala Novel"
"661","Sooriya kanda pamula","","Tenison perera","","Sinhala","Sinhala Novel"
"662","Pransha Pemwatha","","Shamel Jayakody","","Sinhala","Sinhala Novel"
"663","Handawe Hewaneli","","Badraji Mahinda Jayathilaka","","Sinhala","Sinhala Novel"
"664","Suddilage Kathawa","","Simon Nawagattegama","","Sinhala","Sinhala Novel"
"665","Gum","","Batuwangala Rahula himi","","Sinhala","Sinhala Novel"
"666","Dharani","","Kathhyana Amarasinghe","","Sinhala","Sinhala Novel"
"667","Marayanaya","","Susutha Ruwan","","Sinhala","Sinhala Novel"
"668","Asanaga wesi","","Dharsana sammi Wijethilaka","","Sinhala","Sinhala Novel"
"669","Kala nadi gala basi","","Nobert Ayagamage","","Sinhala","Sinhala Novel"
"670","Nili wessa","","Kthyana Amarasinghe","","Sinhala","Sinhala Novel"
"671","Dineka Kusinarawe","","Badraji mahinda jayathilaka","","Sinhala","Sinhala Novel"
"672","Gethsemeni Sandyawa","","Badraji Mahinda Jayathilaka","","Sinhala","Sinhala Novel"
"673","Balakotu saha Nawka","","Badraji mahinda jayathilaka","","Sinhala","Sinhala Novel"
"674","Kurulu Hadawatha","","Liyanage Amarakeerthi","","Sinhala","Sinhala Novel"
"675","Warana","","Padmini Senewirathna","","Sinhala","Sinhala Novel"
"676","Sandungira ginigani","","Sunethra Rajakarunanayaka","","Sinhala","Sinhala Novel"
"677","Appachchi Ewith","","Saman Wickramarachchi","","Sinhala","Sinhala Novel"
"678","Chakra","","Jayathilaka kammellaweera","","Sinhala","Sinhala Novel"
"679","Kelehanda","","W.A.Silva","","Sinhala","Sinhala Novel"
"680","Bamba Ketu Heti","","Karunasena jayalath","","Sinhala","Sinhala Novel"
"681","Beddegama","","Leonard Woolf","A.P.Gunarathne","Sinhala","Sinhala Novel"
"682","Walampuri","","Rodney Jonclas","A.P.Gunarathna","Sinhala","Sinhala Novel"
"683","Thitta kopi","","Cristine Wilson","Anula de Silva","Sinhala","Sinhala Novel"
"684","Ali paara","","Robert Standish","E .Kolonnege","Sinhala","Sinhala Novel"
"685","Weera Divaina","","R.L. Spital & Cristine Wilson","Abaya Hewawasam","Sinhala","Sinhala Novel"
"686","Ran Diwayina","","Denis Clark","Senarathna Weerasinghe","Sinhala","Sinhala Novel"
"687","wadula","","P. Nissanka","","Sinhala","Sinhala Novel"
"688","Kele Gama","","Sirisena Ekanayaka","","Sinhala","Sinhala Novel"
"689","Yaddessawa","","Gunasena Withana","","Sinhala","Sinhala Novel"
"690","Thuru His Matha","","Gamini Kumara Vithana","","Sinhala","Sinhala Novel"
"691","Bedde Bendi Katha","","Gamini Wijerathna","","Sinhala","Sinhala Novel"
"692","Mekigiya Dadaman","","R.L. Spital","A.P.Gunarathna","Sinhala","Sinhala Novel"
"693","sudu Goona","","R.L. Spital","A.P.Gunarathna","Sinhala","Sinhala Novel"
"694","Sudu wedda","","R.L. Spital","Jayaweera Wijepala","Sinhala","Sinhala Novel"
"695","Sudu wedda 2","","Newton Gunasekara","","Sinhala","Sinhala Novel"
"696","Sudu wedda 3","","Newton Gunasekara","","Sinhala","Sinhala Novel"
"697","Suduwedda Noliyu katha","","Jayaweera Wijepala","","Sinhala","Sinhala Novel"
"698","Ali gona ge wana andaraya","","R.L. Spittle","K. wahalathanthrige","Sinhala","Sinhala Novel"
"699","Wisiwasak Wanniye","","Sunil Kularathne","","Sinhala","Sinhala Novel"
"700","Muwanpelessa 1","","Mudalinayaka Somarathna","","Sinhala","Sinhala Novel"
"701","Muwanpelessa 2","","Mudalinayaka Somarathna","","Sinhala","Sinhala Novel"
"702","Wana Sarana","","R.L. Spital","A.P.Gunarathna","Sinhala","Sinhala Novel"
"703","Dadaseriyen Wanaseriyata","","Kemilas wanigasooriya","","Sinhala","Sinhala Novel"
"704","Seruwila Sundara Athdekim","","Wimalasena Jayalath","","Sinhala","Sinhala Novel"
"705","Atheetha Bedigam Withthi","","M.D.Sirisena","","Sinhala","Sinhala Novel"
"706","Digamadulle Ascharya","","Maya Ranjan","","Sinhala","Sinhala Novel"
"707","Somawathiye Wana Divi Meda","","Camilas Wanigasooriya","","Sinhala","Sinhala Novel"
"708","Rohini","","Martin Wickramasinghe","","Sinhala","Sinhala Novel"
"709","Monarawila","","Gamini Vijith  Samarakoon","","Sinhala","Sinhala Novel"
"710","Wellasse Ginipupura","","Wimalasena Ihalagama","","Sinhala","Sinhala Novel"
"711","Senadhipathi Nandimithra","","Bandusena Gunasekara","","Sinhala","Sinhala Novel"
"712","Ithihasaya Kelambu Pemkatha","","Premasiri Mahingoda","","Sinhala","Sinhala Novel"
"713","Baminithi Kalaya","","Anuradha Mahasinghe","","Sinhala","Sinhala Novel"
"714","Sathya Wadiyekuge dinapotha","","Sunul Madhawa premathilaka","","Sinhala","Sinhala Novel"
"715","Gurusewaye Rasa Katha 1","","Piyasena Kahandagamage","","Sinhala","Sinhala Novel"
"716","Gurusewaye Rasa Katha 2","","Piyasena Kahandagamage","","Sinhala","Sinhala Novel"
"717","Jalaye jolly Katha 1","","Vernon Gunasekara","","Sinhala","Sinhala Novel"
"718","Jalaye jolly Katha 2","","Vernon Gunasekara","","Sinhala","Sinhala Novel"
"719","Naralowa Holman  1","","Chandra Anagirathna","","Sinhala","Sinhala Novel"
"720","Naralowa Holman 2","","Chandra Anagirathna","","Sinhala","Sinhala Novel"
"721","Naralowa Holman  3","","Chandra Anagirathna","","Sinhala","Sinhala Novel"
"722","Nasrudin Hoja","","Sunanda Mahendra","","Sinhala","Sinhala Novel"
"723","Bhagath Singh","","Shiv Verma","Uditha Alahakoon","Sinhala","Other"
"724","Su Seta Wasarak Lankawe","","Fedrick Lewis","Yasabandu Samaraweera","Sinhala","Other"
"725","Eda hela diwa","","Robrt Nox","David Karunarathna","Sinhala","Other"
"726","Lanka ithihasaye Kathandara","","","","Sinhala","Other"
"727","Porakaya Iwa kala Minissu","","W.T.M.Mahindarathne","","Sinhala","Other"
"728","Lowa Hellu Abirahasa Minimerum 2","","Abaya Hewawasam","","Sinhala","Other"
"729","Mala Minissu Boru Nokiyathi","","W.T.M.Mahindarathne","","Sinhala","Other"
"730","Lokaya Wenas Kala Minissu","","Chaaminda Senewirathne","","Sinhala","Other"
"731","Sigman Froid dutu apa","","","Nandalal Malagoda","Sinhala","Other"
"732","Ma Kithunuweku Nowuye Ai","","Bertrand Russel","Premasiri Mahiyangoda","Sinhala","Other"
"733","Al Nakba Maha Naspaththiya","","Mahinda Haththaka","","Sinhala","Other"
"734","Sirilaka Siri Wides Asin","","Nuwaraeliye Hemapala","","Sinhala","Other"
"735","Doyle Dutu Udarata Rajye","","Sir John Doyle","Upali Rathnayake","Sinhala","Other"
"736","Yapapatuna Wanshakathawa","","Abayasingha Wijayasriwardana","","Sinhala","Other"
"737","Sri Lankawe Yachakaya","","Nandasena Rathnapala","","Sinhala","Other"
"738","Lak Mawata Muthu Potak","","Ajith Niwad Kabral","","Sinhala","Other"
"739","Mage Naduwa Iwarai","","Sarath Wijesooriya","","Sinhala","Other"
"740","Doramadalawa","","Hasantha Hettiarachchi","","Sinhala","Other"
"741","Maga Digata Janakatha","","D.P.Wickramasinghe","","Sinhala","Other"
"742","Ape gama","","Martin Wickramasinghe","","Sinhala","Other"
"743","Upanda Sita","","Martin Wickramasinghe","","Sinhala","Other"
"744","Sir Jhone Kothalawala","","Nandasena suriyaarachchi","","Sinhala","Other"
"745","Anagarika Dharmapala","","Laksman Jayawardana","","Sinhala","Other"
"746","walawa Mitiyawathe Janakatha","","Gunasekara Gunasoma","","Sinhala","Other"
"747","Awasan Deshanaya","","Randy Pausch","Saman Kaluarachchi","Sinhala","Other"
"748","Nostradamusge Anaweki","","Sunil Wijethunga","","Sinhala","Other"
"749","Jivithayata Herawumak","","Sudarsan Desapriya","","Sinhala","Other"
"750","Athithaya Guruwarayek","","Sarath Wijesuriya","","Sinhala","Other"
"751","Manokaya","","Manoj Rathnayaka","","Sinhala","Other"
"752","Pahasuwen Sitin",""," Eisen Hower","","Sinhala","Other"
"753","Niwasata Sirikatha","","","","Sinhala","Other"
"754","Irawana","","kokila gihan withanathantree","","Sinhala","Other"
"755","Hela Raja Parapura","","Namal Wijesinghe","","Sinhala","Other"
"756","Giya gaman","","kusumsiri wijayawardhana","","Sinhala","Other"
"757","Vibhaga jaya gatha haki maga","","Dayarohana athukorala","","Sinhala","Other"
"758","Kathana demala basa","","","","Sinhala","Other"
"759","Sanniwedanaya ha madya adyanaya","","","","Sinhala","Other"
"760","Paripalana sewa thraga Vibhaga","","","","Sinhala","Other"
"761","Paripalana sewa tharaga vibhaga","","","","Sinhala","Other"
"762","wishayanu badhdha adyanaya","","","","Sinhala","Other"
"763","Sinhala apata English","","","","Sinhala","Other"
"764","Islam","","","","Sinhala","Other"
"765","Demala basa uganimu","","","","Sinhala","Other"
"766","Me jivithayedima paladena Karma","","Nandasena Rathnapala","","Sinhala","Religious"
"767","Thumbarup","","Wirapokune Uparathana Himi","","Sinhala","Religious"
"768","Siddhartha","","Herman hesa","Dayarathna Garusinghe","Sinhala","Religious"
"769","Somawathi Chaithya Rajaya","","Pahamune Sri Sumangala","","Sinhala","Religious"
"770","Apaye Wathagotha","","Thalangalle Sudhamma Himi","","Sinhala","Religious"
"771","Pansiya Panas Jathakaya 1","","Wathuwatte Pemananda","","Sinhala","Religious"
"772","Pansiya Panas Jathakaya 2","","Wathuwatte Pemananda","","Sinhala","Religious"
"773","Ummagga Jathakaya","","","","Sinhala","Religious"
"774","Sabbasawa Suthraya","","Pitigala Gunarathana Himi","","Sinhala","Religious"
"775","Budu Sirithin Rasa Katha","","Danapala Gunasekara","","Sinhala","Religious"
"776","Pretha Wasthu Warnanawa","","U.P. Ekanayaka","","Sinhala","Religious"
"777","Maha Rahathun Wedimaga Osse 2","","","","Sinhala","Religious"
"778","Maha Rahathun Wedimaga Osse 3","","","","Sinhala","Religious"
"779","Maha Rahathun Wedimaga Osse 4","","","","Sinhala","Religious"
"780","Maha Rahathun Wedimaga Osse 5","","","","Sinhala","Religious"
"781","Dhammapadaya","","","","Sinhala","Religious"
"782","Arya AShtangima Margaya","","Deepika BamunuArachchi","","Sinhala","Religious"
"783","Nopenena lokaye saba thathu 1","","","","Sinhala","Religious"
"784","Nopenena lokaye saba thathu 2","","","","Sinhala","Religious"
"785","Mara wesaya","","","","Sinhala","Religious"
"786","Anduru misadutu binda helannta","","","","Sinhala","Religious"
"787","Kosala raja sihina","","","","Sinhala","Religious"
"788","Electronika Paripatha 1","","","","Sinhala","Miscellaneous "
"789","Electronika Paripatha 2","","","","Sinhala","Miscellaneous "
"790","Electronika Paripatha 3","","","","Sinhala","Miscellaneous "
"791","Electronika Paripatha 4","","","","Sinhala","Miscellaneous "
"792","Electronic","","","","Sinhala","Miscellaneous "
"793","Radio 1","","","","Sinhala","Miscellaneous "
"794","Radio 2","","","","Sinhala","Miscellaneous "
"795","MS word","","","","Sinhala","Miscellaneous "
"796","Computer Hardware 1","","","","Sinhala","Miscellaneous "
"797","Computer Hardware 2","","","","Sinhala","Miscellaneous "
"798","Computer games","","","","Sinhala","Miscellaneous "
"799","Chess","","","","Sinhala","Miscellaneous "
"800","Carrom","","","","Sinhala","Miscellaneous "
"801","MS Windows","","","","Sinhala","Miscellaneous "
"802","Windows XP","","","","Sinhala","Miscellaneous "
"803","Anka ekka Ottu selln","","","","Sinhala","Miscellaneous "
"804","Ganithayen vinodaya","","","","Sinhala","Miscellaneous "
"805","Sahitha latha","","","","Sinhala","Miscellaneous "
"806","Purana Anuradhapuraya","","","","Sinhala","Miscellaneous "
"807","Sri dalada perahera","","","","Sinhala","Miscellaneous "
"808","Deshabhimani Ha Bodu Gee","","","","Sinhala","Miscellaneous "
"809","Sri lankawe pujaneeya sthana","","","","Sinhala","Miscellaneous "
"810","Vijaya Kuweni Puwatha","","","","Sinhala","Miscellaneous "
"811","Neela Maha yoodhaya","","","","Sinhala","Miscellaneous "
"812","Ape jathika wirayo","","","","Sinhala","Miscellaneous "
"813","Lowa prakata Charitha","","","","Sinhala","Miscellaneous "
"814","Ape Lanka ","","","","Sinhala","Miscellaneous "
"815","Darma Chakraya Ha baudda Kodiya","","","","Sinhala","Miscellaneous "
"816","Rahula hinige aprakata janprawada","","","","Sinhala","Miscellaneous "
"817","Jathika uthsawa","","","","Sinhala","Miscellaneous "
"818","Jathika sanketha","","","","Sinhala","Miscellaneous "
"819","lokuma ledeta hondma behetha","","","","Sinhala","Miscellaneous "
"820","Paramparika ath beheth","","","","Sinhala","Miscellaneous "
"821","Pawlw weda ath potha","","","","Sinhala","Miscellaneous "
"822","Prathamadara weda potha","","","","Sinhala","Miscellaneous "
"823","Narada weda potha","","","","Sinhala","Miscellaneous "
"824","pinas wedapotha","","","","Sinhala","Miscellaneous "
"825","Niwasata sawbhgya 1","","","","Sinhala","Miscellaneous "
"826","Niwasata sawbhgya 2","","","","Sinhala","Miscellaneous "
"827","Swayan rakiya 50","","","","Sinhala","Miscellaneous "
"828","Wanithawanta Pamanai","","","","Sinhala","Miscellaneous "
"829","Mahum athpotha","","","","Sinhala","Miscellaneous "
"830","Rasawath bima warga","","","","Sinhala","Miscellaneous "
"831","kama warga 100","","","","Sinhala","Miscellaneous "
"832","Rasa guna piri Ahara","","","","Sinhala","Miscellaneous "
"833","Rathna Supa shathra","","","","Sinhala","Miscellaneous "
"834","Kama wattori 1","","","","Sinhala","Miscellaneous "
"835","Kama wattori 2","","","","Sinhala","Miscellaneous "
"836","Anthurium agawa","","","","Sinhala","Miscellaneous "
"837","Redi pintharuwa","","","","Sinhala","Miscellaneous "
"838","Thapal Sanketha Namawaliya","","","","Sinhala","Miscellaneous "
"839","Hari Pudumai","","","","Sinhala","Miscellaneous "
"840","Denum Sawiya","","","","Sinhala","Miscellaneous "
"841","Punchi Ape Asa giya then","","","","Sinhala","Miscellaneous "
"842","Vidya vinoda Katha 1","","","","Sinhala","Miscellaneous "
"843","Vidya vinoda Katha 2","","","","Sinhala","Miscellaneous "
"844","Tharu vidu denuma ","","","","Sinhala","Miscellaneous "
"845","Lowa wata denuma ","","","","Sinhala","Miscellaneous "
"846","Jagath shishtachara","","","","Sinhala","Miscellaneous "
"847","Thrawili","","","","Sinhala","Miscellaneous "
"848","Janakavi","","","","Sinhala","Miscellaneous "
"849","Ape janakavi 1","","","","Sinhala","Miscellaneous "
"850","Ape janakavi 2","","","","Sinhala","Miscellaneous "
"851","Sinhala sahithya sangrahaya","","","","Sinhala","Miscellaneous "
"852","virindu bana","","","","Sinhala","Miscellaneous "
"853","50 weni dashkaye kawi","","","","Sinhala","Miscellaneous "
"854","Gira Sandeshya","","","","Sinhala","Miscellaneous "
"855","Sirith maldama","","","","Sinhala","Miscellaneous "
"856","Subhashithaya 1","","","","Sinhala","Miscellaneous "
"857","Subhashithaya 2","","","","Sinhala","Miscellaneous "
"858","Salalihini sandeshya","","","","Sinhala","Miscellaneous "
"859","Yashodarawatha","","","","Sinhala","Miscellaneous "
"860","lowada sangarawa 1","","","","Sinhala","Miscellaneous "
"861","lowada sangarawa 2","","","","Sinhala","Miscellaneous "
"862","lowada sangarawa 3","","","","Sinhala","Miscellaneous "
"863","Kulundul pempuwatha","","Ivan Turgenev","Chulananda Samaranayaka","Sinhala","Russian Translation Novel"
"864","Polima","","vladimir sorokin","Chulananda Samaranayaka","Sinhala","Russian Translation Novel"
"865","Anne - 1","ඈන් - 1","L.M.Montgomery","Premasiri Mahingoda","Sinhala","English Translation Novel"
"866","Anne - 2","ඈන් - 2","L.M.Montgomery","Premasiri Mahingoda","Sinhala","English Translation Novel"
"867","Anne - 3","ඈන් - 3","L.M.Montgomery","Premasiri Mahingoda","Sinhala","English Translation Novel"
"868","Anne - 4","ඈන් - 4","L.M.Montgomery","Premasiri Mahingoda","Sinhala","English Translation Novel"
"869","Anne - 5","ඈන් - 5","L.M.Montgomery","Premasiri Mahingoda","Sinhala","English Translation Novel"
"870","Anne - 6 (To be added)","ඈන් - 6","L.M.Montgomery","Premasiri Mahingoda","Sinhala","English Translation Novel"
"871","Anne - 7 (To be added)","ඈන් - 7","L.M.Montgomery","Premasiri Mahingoda","Sinhala","English Translation Novel"
"872","Anne - 8 (To be added)","ඈන් - 8","L.M.Montgomery","Premasiri Mahingoda","Sinhala","English Translation Novel"
"873","Muhudu gini Awiya","","","Chandana Mendis","Sinhala","English Translation Novel"
"874","Gigurum nadaya","","","Prabath Mirihagalla","Sinhala","English Translation Short Stories"
"875","Ran pathalaka sengawunu kathawa","","Wilbur smith","Susantha kodithuwakku","Sinhala","English Translation Novel"
"876","Lajja","ලජ්ජා","Taslima Nasrin","Dimuthu samudra liyanage","Sinhala","English Translation Novel"
"877","Rath waralethi liya","","Orhan Pamuk","Niluka kadurugamua","Sinhala","English Translation Novel"
"878","Mahamariya","","Albert Camus","Maheshi weerakoon","Sinhala","English Translation Novel"
"879","Weerayek Ewith","","Mario Vargas Llosa","Chulananda Samaranayaka","Sinhala","English Translation Novel"
"880","Myawasa","","Isabel Allende","Gamini viyangoda","Sinhala","English Translation Novel"
"881","Naduwibagaya","නාදු විභාගය","Franz Kafka","Tennison Perera","Sinhala","English Translation Novel"
"882","Andeesaye Maranaya","","Mario Vargas Llosa","Chulananda Samaranayake","Sinhala","English Translation Novel"
"883","Meesha","මීශා","Muthumudalige Nissanka","","Sinhala","Sinhala Novel"
"884","Omen 1 Sathange salakuna","","David seltzer","Kumara siriwardana","Sinhala","English Translation Novel"
"885","Omen - 2 Demian","","Joseph Howard","Kumara siriwardana","Sinhala","English Translation Novel"
"886","Maha pala yama ","","Paul Brickhill","Upali Kannangara","Sinhala","English Translation Novel"
"887","chernobil hi reyak","","Adam Higginbotham","tharushi niranga jayasinghe","Sinhala","English Translation Novel"
"888","kalki","","kevin Missal","Palitha jayakodi","Sinhala","English Translation Novel"
"889","Amazonia","ඇමසෝනියා","James Rollins","Manjula Dissanayaka","Sinhala","English Translation Novel"
"890","Kondurana sulanga","","Frederick Forsyth","Ananda  sellahewa","Sinhala","English Translation Novel"
"891","12.12.12","","Manjula Senarathne","","Sinhala","Sinhala Novel"
